title,certificate,duration,genre,rating,stars,votes
I Used to Be Famous,TV-14,104,"Comedy, Drama, Music",6.6,10,2633
Titanic,PG-13,194,"Drama, Romance",7.9,10,1158746
Bridgerton,TV-MA,60,"Drama, History, Romance",7.3,7,133119
Sherlock,TV-14,88,"Crime, Drama, Mystery",9.1,7,913816
Dexter,TV-MA,53,"Crime, Drama, Mystery",8.7,7,720792
New Girl,TV-14,22,"Comedy, Romance",7.7,7,221781
The Expanse,TV-14,60,"Drama, Mystery, Sci-Fi",8.5,7,151611
Purple Hearts,TV-14,122,"Drama, Music, Romance",6.7,10,32797
The Gentlemen,R,113,"Action, Comedy, Crime",7.8,10,331508
The Good Doctor,TV-14,41,Drama,8.1,7,92641
Downton Abbey,TV-PG,58,"Drama, Romance",8.7,7,204875
Extraordinary Attorney Woo,TV-14,75,Drama,8.9,7,9538
Smallville,TV-PG,60,"Action, Adventure, Drama",7.5,7,127295
Star Trek: The Next Generation,TV-PG,44,"Action, Adventure, Sci-Fi",8.7,7,119655
BoJack Horseman,TV-MA,25,"Animation, Comedy, Drama",8.8,7,152649
"Love, Death & Robots",TV-MA,15,"Animation, Short, Action",8.4,7,165153
Money Heist,TV-MA,70,"Action, Crime, Drama",8.2,7,469640
Orange Is the New Black,TV-MA,59,"Comedy, Crime, Drama",8.1,7,300354
Jurassic Park,PG-13,127,"Action, Adventure, Sci-Fi",8.2,10,978402
Prison Break,TV-14,44,"Action, Crime, Drama",8.3,7,529304
Billions,TV-MA,60,Drama,8.4,7,93451
Once Upon a Time,TV-PG,60,"Adventure, Fantasy, Romance",7.7,7,223549
Titans,TV-MA,45,"Action, Adventure, Crime",7.6,7,98315
The 100,TV-14,43,"Drama, Mystery, Sci-Fi",7.6,7,248827
Jaws,PG,124,"Adventure, Thriller",8.1,10,600404
The Catholic School,TV-MA,106,Drama,5.8,10,1536
South Park,TV-14,22,"Animation, Comedy",8.7,7,366394
Spartacus,TV-MA,55,"Action, Adventure, Biography",8.5,7,241105
Clueless,PG-13,97,"Comedy, Romance",6.9,10,216233
Chesapeake Shores,TV-PG,42,"Drama, Family",7.5,7,7676
Demon Slayer: Kimetsu no Yaiba,TV-MA,24,"Animation, Action, Adventure",8.7,7,97968
The Queen's Gambit,TV-MA,60,Drama,8.6,7,432644
Pretty Little Liars,TV-14,44,"Drama, Mystery, Romance",7.4,7,166548
Mindhunter,TV-MA,60,"Crime, Drama, Mystery",8.6,7,281506
"Murder, She Wrote",TV-PG,50,"Crime, Drama, Mystery",7.1,7,24323
From,TV-MA,52,"Drama, Horror, Mystery",7.6,7,18826
Spiderhead,R,106,"Action, Crime, Drama",5.4,10,52102
CSI: Crime Scene Investigation,TV-14,60,"Crime, Drama, Mystery",7.7,7,83833
Evil,TV-14,42,"Crime, Drama, Horror",7.7,7,26248
The Lincoln Lawyer,TV-MA,60,"Crime, Drama, Mystery",7.7,7,35356
Arrested Development,TV-14,22,Comedy,8.7,7,302834
Heartland,TV-PG,45,"Drama, Family",8.4,7,16702
Mo,TV-MA,30,"Comedy, Drama",7.6,7,5261
Inventing Anna,TV-MA,65,Drama,6.8,7,65185
It,R,135,Horror,7.3,10,537240
Narcos,TV-MA,49,"Biography, Crime, Drama",8.8,7,416307
The Sinner,TV-MA,45,"Crime, Drama, Mystery",7.9,7,120241
Homeland,TV-MA,55,"Crime, Drama, Mystery",8.3,7,339482
The Haunting of Hill House,TV-MA,572,"Drama, Horror, Mystery",8.6,7,237198
Doc Martin,TV-14,46,"Comedy, Drama, Romance",8.4,7,16147
Hawaii Five-0,TV-14,42,"Action, Crime, Drama",7.4,7,73530
Star Trek: The Original Series,TV-PG,50,"Action, Adventure, Sci-Fi",8.4,7,83805
The Next 365 Days,TV-MA,112,"Drama, Romance",2.7,12,5495
Don't Look Up,R,138,"Comedy, Drama, Sci-Fi",7.2,10,525424
Murdoch Mysteries,TV-PG,48,"Crime, Drama, Mystery",8.2,7,14381
The Good Wife,TV-14,43,"Crime, Drama, Mystery",8.4,7,75557
Shadow and Bone,TV-14,60,"Action, Adventure, Drama",7.6,7,82657
Sex/Life,TV-MA,45,"Comedy, Drama, Romance",5.4,7,21107
Gladiator,R,155,"Action, Adventure, Drama",8.5,10,1481531
The Punisher,TV-MA,53,"Action, Crime, Drama",8.5,7,231599
Midnight Mass,TV-MA,450,"Drama, Fantasy, Horror",7.7,7,110997
"Roswell, New Mexico",TV-14,45,"Drama, Romance, Sci-Fi",6.2,7,12827
Taxi Driver,R,114,"Crime, Drama",8.2,10,819599
Teen Wolf,TV-14,41,"Action, Drama, Fantasy",7.7,7,146991
Vikings: Valhalla,TV-MA,51,"Action, Adventure, Drama",7.2,7,37571
New Amsterdam,TV-14,43,Drama,8.0,7,37212
Léon: The Professional,R,110,"Action, Crime, Drama",8.5,10,1147345
Arrow,TV-14,42,"Action, Adventure, Crime",7.5,7,429943
The Good Nurse,R,121,"Biography, Crime, Drama",7.8,10,116
The Good Place,TV-PG,22,"Comedy, Drama, Fantasy",8.2,7,156760
Agents of S.H.I.E.L.D.,TV-PG,45,"Action, Adventure, Drama",7.5,7,216461
Mother!,R,121,"Drama, Horror, Mystery",6.6,10,224398
Hustle,R,117,"Comedy, Drama, Sport",7.3,10,110391
365 Days: This Day,TV-MA,111,"Drama, Romance",2.6,12,19357
Cheers,TV-PG,22,"Comedy, Drama",7.9,7,54765
Line of Duty,TV-14,60,"Crime, Drama, Mystery",8.7,7,58387
Pieces of Her,TV-MA,52,"Crime, Drama, Mystery",6.3,7,25208
