title,certificate,duration,genre,rating,stars,votes
A Man for All Seasons,G,120,"Biography, Drama, History",7.7,10,34731
Sexify,TV-MA,40,"Comedy, Drama",6.5,7,5159
The Red Balloon,Not Rated,34,"Short, Comedy, Drama",8.1,10,18627
Impetigore,Not Rated,106,"Horror, Mystery, Thriller",6.6,10,5663
A Castle for Christmas,TV-G,98,"Adventure, Comedy, Drama",5.5,10,12085
Beastars,TV-MA,23,"Animation, Crime, Drama",7.7,7,10086
Geronimo: An American Legend,PG-13,115,"Drama, History, Western",6.5,10,11903
Wanted,TV-14,60,"Action, Crime, Drama",7.6,7,6029
The New Legends of Monkey,TV-PG,24,"Action, Adventure, Comedy",6.5,7,4456
Inside Man: Most Wanted,R,105,"Action, Crime, Thriller",5.6,10,4101
S.W.A.T.: Under Siege,R,89,"Action, Thriller",4.6,10,3793
Unsolved Mysteries,TV-MA,45,"Documentary, Crime, Mystery",7.3,7,9832
The Cat Returns,G,75,"Animation, Adventure, Comedy",7.2,10,56870
Frozen Planet,TV-PG,333,Documentary,9.0,7,30498
Creeped Out,TV-Y7,30,"Action, Adventure, Crime",6.6,7,1938
The Best of Enemies,PG-13,133,"Biography, Drama, History",7.3,10,17179
Rurouni Kenshin Part I: Origins,TV-MA,134,"Action, Adventure, Drama",7.4,10,26482
The Last Days of American Crime,TV-MA,148,"Action, Crime, Drama",3.7,10,11605
The Little Prince,PG,108,"Animation, Adventure, Drama",7.7,10,62222
The Double,PG-13,98,"Action, Crime, Drama",5.9,10,30521
The Sound of Magic,TV-14,70,"Drama, Fantasy, Music",7.7,7,3255
The Bookshop,PG,113,Drama,6.5,10,15467
Meteor Garden,TV-14,45,"Drama, Romance",7.9,7,4145
We Bare Bears,TV-PG,30,"Animation, Adventure, Comedy",7.9,7,15784
The Old Ways,R,90,"Drama, Fantasy, Horror",5.4,10,6341
Hilda,TV-Y7,24,"Animation, Adventure, Comedy",8.5,7,10730
Traitors,TV-MA,60,"History, Thriller",6.6,7,3196
Falling Inn Love,TV-PG,98,"Comedy, Romance",5.6,10,20178
An Astrological Guide for Broken Hearts,TV-14,30,"Comedy, Romance",7.1,7,3260
14 Peaks: Nothing Is Impossible,TV-MA,101,"Documentary, Adventure, Sport",7.7,10,25371
The Woods,TV-MA,306,"Crime, Drama, Mystery",6.6,7,6473
Black Space,TV-MA,45,"Crime, Drama, Thriller",6.7,7,1903
Drunken Master,PG-13,111,"Action, Comedy",7.4,10,40397
Trinkets,TV-MA,30,"Comedy, Crime, Drama",7.0,7,11257
Tiger King,TV-MA,45,"Documentary, Biography, Crime",7.5,7,79047
Little Things,TV-MA,16,"Comedy, Romance",8.2,7,6804
Duck Butter,Not Rated,93,"Comedy, Drama, Romance",5.3,10,4043
Brain on Fire,PG-13,88,"Biography, Drama",6.6,10,21728
Dangerous Liaisons,TV-MA,109,"Drama, Romance",3.9,10,1423
Marmaduke,TV-Y7,88,"Animation, Adventure, Comedy",3.5,16,3561
Girlboss,TV-MA,26,Comedy,7.0,7,18117
On the Verge,TV-14,35,Comedy,6.5,7,3169
Honeymoon,R,87,"Drama, Fantasy, Horror",5.7,10,26016
From Up on Poppy Hill,PG,91,"Animation, Comedy, Drama",7.4,10,44201
My Liberation Diary,TV-14,60,"Drama, Romance",8.3,7,2084
How NOT to Summon a Demon Lord,TV-MA,24,"Animation, Adventure, Comedy",7.0,7,3500
Kidnapping Stella,TV-MA,89,"Crime, Thriller",4.9,10,6120
Dragons: Race to the Edge,TV-Y7-FV,22,"Animation, Action, Adventure",8.2,7,6520
Glow Up: Britain's Next Make-Up Star,TV-14,60,"Game-Show, Reality-TV",6.9,7,2355
The Battle of Britain,G,132,"Action, Drama, History",6.9,10,22730
Worst Roommate Ever,TV-MA,236,"Documentary, Crime, Drama",7.1,7,7812
Final Score,R,104,"Action, Drama, Thriller",5.8,10,12973
The Real Housewives of New York City,TV-14,44,Reality-TV,4.6,7,3671
Ganglands,TV-MA,44,"Action, Crime, Drama",7.0,7,2640
Tau,R,97,"Sci-Fi, Thriller",5.8,10,31614
Hit and Run,R,100,"Action, Adventure, Comedy",6.1,12,36319
Love on the Spectrum,TV-14,45,"Documentary, Reality-TV, Romance",8.6,7,6066
Penguin Bloom,TV-14,95,"Biography, Drama",6.8,10,10454
Buba,TV-MA,94,"Comedy, Drama",5.8,10,1812
Malang,Not Rated,135,"Action, Crime, Drama",6.5,10,10775
Furioza,TV-MA,139,"Action, Crime, Drama",6.2,10,4458
Marauders,R,107,"Action, Crime, Thriller",5.5,10,22443
The Future Diary,TV-MA,25,"Animation, Action, Drama",7.5,7,17453
The Wandering Earth,TV-MA,125,"Action, Adventure, Sci-Fi",5.9,10,30613
The Paradise,TV-PG,60,Drama,7.7,7,11868
Get Even,TV-PG,28,"Crime, Drama, Thriller",6.4,7,2807
Surviving Summer,TV-PG,30,"Drama, Family",6.5,7,1761
Love Wedding Repeat,TV-MA,100,"Comedy, Romance",5.5,10,20649
Pieles,TV-MA,77,"Comedy, Drama, Fantasy",6.1,10,6028
Only Yesterday,PG,119,"Animation, Drama, Romance",7.6,10,32519
We Summon the Darkness,R,91,"Horror, Music, Thriller",5.2,10,10714
The Principles of Pleasure,TV-MA,152,Documentary,5.8,7,1246
Juvenile Justice,TV-MA,60,"Crime, Drama",7.9,7,2978
Ergo Proxy,TV-14,25,"Animation, Action, Adventure",7.9,7,14379
The Immigrant,R,120,"Drama, Romance",6.6,10,32070
The Occupant,TV-MA,103,"Adventure, Drama, Horror",6.4,12,17750
A.N.T. Farm,TV-G,30,"Comedy, Drama, Family",5.0,7,7233
Record of Ragnarok,TV-14,24,"Animation, Action, Adventure",6.2,7,5162
Blippi,TV-Y,11,Family,6.7,7,494
AJ and the Queen,TV-14,52,"Adventure, Comedy, Drama",7.5,7,8286
Car Masters: Rust to Riches,TV-PG,40,Reality-TV,8.4,7,10809
The Willoughbys,PG,90,"Animation, Adventure, Comedy",6.3,14,19030
Satan's Slaves,Not Rated,107,"Drama, Horror, Mystery",6.5,10,9183
Wet Hot American Summer: Ten Years Later,TV-MA,216,Comedy,6.9,7,8763
History 101,TV-14,22,"Documentary, History",6.8,1,4333
Who Likes My Follower?,TV-MA,45,"Reality-TV, Romance",4.4,7,44
Let It Snow,PG-13,92,"Comedy, Romance",5.8,10,22032
The House of Flowers,TV-MA,60,"Comedy, Drama",7.6,7,7884
Elisa & Marcela,TV-MA,118,"Biography, Drama, Romance",6.6,10,4981
Step Up All In,PG-13,112,"Drama, Music, Romance",5.9,10,34613
Heirs to the Land,TV-MA,50,"Drama, History",7.1,7,1109
The Ministry of Time,TV-MA,70,"Action, Adventure, Comedy",8.2,7,5023
Q-Force,TV-MA,30,"Animation, Action, Adventure",6.4,7,5557
Love 101,TV-14,40,"Comedy, Drama, Romance",7.5,7,14630
Fyre,TV-MA,97,"Documentary, Crime, Music",7.2,10,47128
Damnation,TV-MA,60,"Crime, Drama, Western",7.6,7,8449
Rogue City,TV-MA,116,"Action, Crime, Drama",6.1,10,8789
Work It,TV-14,93,"Comedy, Music",6.1,10,13574
Step Up 3D,PG-13,107,"Drama, Music, Romance",6.1,10,58322
Dorohedoro,TV-MA,25,"Animation, Action, Comedy",8.1,7,8619
Extracurricular,TV-MA,50,"Crime, Drama",7.6,7,6771
Breach,R,92,"Action, Horror, Sci-Fi",2.9,10,18227
The Quintessential Quintuplets,TV-PG,24,"Animation, Comedy, Drama",7.7,7,4864
Bank Robbers: The Last Great Heist,TV-14,109,"Documentary, Crime",7.1,4,900
Pipa,TV-MA,115,"Crime, Drama, Mystery",4.3,10,1296
Little Britain,TV-MA,29,Comedy,7.7,7,24385
The Week Of,TV-14,116,Comedy,5.2,10,22189
Disjointed,TV-MA,30,Comedy,6.7,7,10361
Ibiza,TV-MA,94,"Comedy, Romance",5.2,10,17721
A Boy Called Christmas,PG,106,"Adventure, Drama, Family",6.7,10,21273
Thai Cave Rescue,TV-14,360,"Adventure, Drama, Thriller",7.3,7,129
The Unicorn,TV-PG,22,"Comedy, Drama, Family",7.2,7,4268
Who Rules the World,TV-PG,45,"Action, Drama, Fantasy",8.3,7,803
Night Stalker: The Hunt for a Serial Killer,TV-MA,189,"Documentary, Crime, Mystery",7.5,7,25727
Icarus,TV-MA,120,"Documentary, Sport",7.9,10,50065
Zoe,R,104,"Romance, Sci-Fi",6.0,10,9258
Boss,TV-MA,56,"Crime, Drama",8.1,7,17776
Dogs of Berlin,TV-MA,542,"Action, Crime, Drama",7.5,7,12808
Degrassi: Next Class,TV-PG,30,"Drama, Romance",6.8,7,3360
IO,TV-14,96,"Adventure, Drama, Sci-Fi",4.7,10,34443
Voltron: Legendary Defender,TV-Y7-FV,23,"Animation, Action, Adventure",8.1,7,8942
Chickenhare and the Hamster of Darkness,TV-Y7,91,"Animation, Adventure, Comedy",6.3,12,1538
Untold: Crimes and Penalties,TV-MA,85,"Documentary, Crime, Sport",7.4,12,3806
Rust Creek,R,108,"Crime, Drama, Thriller",5.9,10,11778
The Twelve,TV-MA,50,"Drama, Thriller",7.4,7,5359
The Life and Movies of Erşan Kuneri,TV-MA,45,Comedy,6.7,7,12247
T-34,TV-14,139,"Action, War",6.7,10,12522
The Mystery of Marilyn Monroe: The Unheard Tapes,TV-14,101,Documentary,6.2,10,4444
The Siege of Jadotville,TV-MA,108,"Action, Drama, History",7.2,10,39952
World Without End,TV-MA,374,"Drama, History, Romance",6.9,7,8747
Night Owls,R,90,"Comedy, Drama",6.2,10,2443
Kengan Ashura,TV-MA,24,"Animation, Action, Sport",8.0,7,5027
Afterlife of the Party,TV-PG,109,"Comedy, Drama, Fantasy",5.8,10,9071
Gymnastics Academy: A Second Chance!,TV-PG,25,"Drama, Family, Sport",8.2,7,89
Jaguar,TV-14,50,"Action, Drama, History",5.7,7,1848
Step Sisters,PG-13,108,Comedy,5.4,10,4584
Another,TV-MA,300,"Animation, Drama, Horror",7.5,7,15033
Heartsong,TV-14,95,"Comedy, Drama, Music",5.8,10,1257
The Discovery,TV-MA,102,"Drama, Romance, Sci-Fi",6.2,10,34544
Out of Death,R,96,"Crime, Thriller",3.2,10,5006
Baki Hanma,TV-MA,25,"Animation, Action, Drama",6.7,7,1847
Le chant du loup,TV-14,115,"Action, Thriller",6.9,10,18005
Ivy + Bean: Doomed to Dance,TV-G,53,"Comedy, Family",6.0,10,98
Henry Gamble's Birthday Party,Unrated,87,Drama,6.1,10,3126
Remarriage & Desires,TV-14,70,Drama,7.4,7,1061
Dhamaka,TV-14,103,"Crime, Drama, Thriller",7.1,10,40747
The Misfit of Demon King Academy,TV-14,23,"Animation, Adventure, Comedy",7.3,7,3389
The ABCs of Death,Not Rated,129,"Comedy, Horror",4.7,62,19374
Final Girl,R,84,"Horror, Thriller",4.7,10,15916
Spirit Untamed,PG,88,"Animation, Adventure, Comedy",5.5,12,3715
Greenhouse Academy,TV-PG,25,Drama,6.6,7,6245
Monarca,TV-MA,43,Drama,7.8,7,3323
Secret Obsession,TV-14,97,Thriller,4.4,10,21867
American Siege,R,91,"Action, Thriller",3.4,10,1697
Paranormal,TV-14,45,"Drama, Fantasy, Horror",8.0,7,72160
Vicky and Her Mystery,TV-PG,84,"Adventure, Drama, Family",6.3,10,2033
Unsolved: The Murders of Tupac and the Notorious B.I.G.,TV-MA,60,"Biography, Crime, Drama",7.8,7,7994
The Perfect Mother,TV-MA,192,"Drama, Thriller",5.9,7,1041
Trigun,TV-14,24,"Animation, Action, Adventure",8.2,7,21805
The Devil Judge,TV-14,75,"Crime, Drama, Mystery",8.3,7,2687
Love Tactics,TV-MA,97,"Comedy, Romance",5.2,10,4031
The Whole Truth,R,93,"Crime, Drama, Mystery",6.2,10,29336
John Dies at the End,R,99,"Comedy, Fantasy, Horror",6.3,10,38551
Drive Hard: The Maloof Way,TV-14,32,Reality-TV,6.2,7,149
The Legend of Drunken Master,R,102,"Action, Comedy",7.5,12,46202
A California Christmas: City Lights,PG-13,106,"Comedy, Drama, Romance",5.5,10,2476
Fatal Affair,TV-14,89,Thriller,4.5,10,6084
The Debt Collector,Not Rated,95,"Action, Comedy",5.8,10,7762
A Vigilante,R,91,"Crime, Drama, Mystery",5.7,10,9163
The Daily Life of the Immortal King,TV-14,18,"Animation, Action, Adventure",7.2,7,1436
The Water Man,PG,91,"Adventure, Drama, Family",5.5,10,3978
Prayers for the Stolen,R,110,Drama,7.3,10,2785
Great Teacher Onizuka,TV-MA,24,"Animation, Comedy, Drama",8.5,7,9298
The Billion Dollar Code,TV-MA,267,"Biography, Crime, Drama",8.0,7,8579
Time Trap,Not Rated,87,"Action, Adventure, Mystery",6.2,12,37065
Explained,TV-MA,18,Documentary,8.0,7,9221
Watership Down,TV-PG,204,"Animation, Action, Adventure",7.2,7,6256
Rose Island,TV-14,117,"Adventure, Comedy, Drama",7.0,10,21001
Maya and the Three,TV-Y7,30,"Animation, Action, Adventure",8.1,7,3940
Inside the World's Toughest Prisons,TV-MA,47,Documentary,7.1,5,2965
Flight 7500,PG-13,80,"Drama, Horror, Sci-Fi",4.8,10,16082
On Body and Soul,Not Rated,116,"Drama, Fantasy, Mystery",7.5,10,27775
The Christmas Chronicles,PG,104,"Adventure, Comedy, Family",7.0,10,72157
To All the Boys: P.S. I Still Love You,TV-14,101,"Comedy, Drama, Romance",6.0,10,38979
Ludo,TV-MA,150,"Action, Comedy, Crime",7.6,10,39347
No Good Nick,TV-PG,30,"Comedy, Drama, Family",5.9,7,3039
Collision,TV-MA,99,"Crime, Drama, Thriller",4.1,10,1023
Gone for Good,TV-MA,247,"Crime, Drama, Mystery",6.3,7,4207
Selena: The Series,TV-PG,40,"Biography, Drama, Music",6.9,7,4569
Bullet Head,R,93,"Crime, Drama, Thriller",5.4,10,10383
The Night Before,R,101,"Comedy, Fantasy",6.3,10,74545
The Summit of the Gods,PG,95,"Animation, Adventure, Drama",7.5,10,6107
El marginal,TV-MA,60,"Crime, Drama, Mystery",8.2,7,4115
Feria: The Darkest Light,TV-MA,50,"Crime, Drama, Fantasy",5.6,7,2356
Rumspringa,TV-MA,101,Comedy,5.4,10,920
The Great Hack,TV-MA,114,"Documentary, Biography, History",7.0,12,23656
My Babysitter's a Vampire,TV-PG,22,"Action, Comedy, Family",6.9,7,4527
Downfall: The Case Against Boeing,PG-13,89,Documentary,7.4,10,10970
The Club,TV-14,55,Drama,7.8,7,9409
Hard Cell,TV-MA,25,Comedy,6.3,7,1675
Nailed It!,TV-PG,33,"Game-Show, Reality-TV",7.4,7,4828
Man Like Mobeen,TV-MA,21,Comedy,8.0,7,2849
Girl,R,105,Drama,7.1,10,14561
The Bonfire of Destiny,TV-MA,48,"Drama, History",7.6,7,4742
October Faction,TV-MA,39,"Adventure, Drama, Fantasy",6.1,7,11210
Close,TV-MA,94,"Action, Drama, Thriller",5.7,10,24999
Flaked,TV-MA,30,"Comedy, Drama, Romance",7.2,7,11580
Toradora!,TV-14,24,"Animation, Comedy, Drama",8.0,7,15338
Boy Meets Girl,R,95,"Comedy, Drama, Romance",7.1,10,4685
Yaksha: Ruthless Operations,TV-14,125,"Action, Crime, Thriller",6.2,10,3453
The Incredible Shrinking Man,Not Rated,81,"Horror, Sci-Fi",7.6,10,18215
The Christmas Chronicles: Part Two,PG,112,"Adventure, Comedy, Family",6.0,10,29764
Survivor,PG-13,96,"Action, Crime, Thriller",5.6,10,34029
A Prayer Before Dawn,R,116,"Action, Biography, Crime",6.8,10,23669
Trust No One: The Hunt for the Crypto King,TV-MA,90,"Documentary, Crime",6.3,1,4831
The Courier,R,99,"Action, Crime, Drama",4.8,10,11368
Dirty Money,TV-14,60,"Documentary, Crime",8.1,7,9307
Love on the Spectrum U.S.,TV-14,40,"Documentary, Short, Comedy",8.2,7,1327
Noragami,TV-14,24,"Animation, Action, Adventure",7.9,7,15639
Journal 64,Not Rated,119,"Crime, Mystery, Thriller",7.4,10,16759
The Trial,TV-MA,52,"Crime, Thriller",7.2,7,3271
Chambers,TV-MA,60,"Drama, Fantasy, Horror",6.4,7,8615
Ala Vaikunthapurramuloo,Not Rated,163,"Action, Comedy, Drama",7.3,10,18386
Sierra Burgess Is a Loser,PG-13,105,"Comedy, Drama, Romance",5.8,10,39160
The Smurfs,TV-Y,30,"Animation, Adventure, Comedy",7.2,7,18686
Nightflyers,TV-14,60,"Drama, Horror, Mystery",5.8,7,13355
Shimmer Lake,Not Rated,86,"Action, Crime, Drama",6.3,10,14949
Madame Claude,TV-MA,112,"Biography, Crime, Drama",5.4,10,3470
Pokémon Master Journeys,TV-Y7,50,"Animation, Action, Adventure",7.6,7,194
Time to Hunt,TV-MA,134,"Action, Crime, Drama",6.3,10,5795
Concrete Cowboy,R,111,"Drama, Western",6.3,10,8843
Our Souls at Night,TV-14,103,"Drama, Romance",6.9,10,13656
Trees of Peace,TV-MA,97,Drama,6.4,10,1284
Friendzone,TV-MA,88,"Comedy, Romance",5.9,10,3523
MI-5,R,104,"Action, Drama, Thriller",6.2,10,22820
Skiptrace,PG-13,107,"Action, Adventure, Comedy",5.6,10,21027
Grand Designs,TV-G,50,"Documentary, Reality-TV",8.5,7,3181
Tall Girl 2,TV-PG,97,"Comedy, Drama, Family",4.7,10,4644
Self Made: Inspired by the Life of Madam C.J. Walker,TV-MA,191,"Biography, Drama, History",7.3,7,12015
Free Rein,TV-G,26,"Action, Adventure, Comedy",7.1,7,2145
Then Came You,Not Rated,97,"Adventure, Comedy, Drama",6.9,10,12727
The Great Train Robbery,Not Rated,90,"Biography, Crime, Drama",7.3,7,4253
Ouran High School Host Club,TV-14,24,"Animation, Comedy, Romance",8.2,7,10124
Untold: Malice at the Palace,TV-MA,68,"Documentary, Crime, Sport",7.5,10,8438
The Queen of Black Magic,Not Rated,99,"Drama, Horror, Mystery",6.5,10,2411
Iron Chef: Quest for an Iron Legend,TV-G,45,"Game-Show, Reality-TV",7.2,7,685
Samurai Rabbit: The Usagi Chronicles,TV-Y7,25,"Animation, Action, Adventure",6.4,7,466
Spriggan,TV-MA,45,"Animation, Action, Adventure",6.9,7,931
The Last Mercenary,TV-MA,110,"Action, Adventure, Comedy",5.3,10,8638
High-Rise Invasion,TV-MA,25,"Animation, Action, Horror",6.5,7,3062
Initial D,TV-PG,107,"Action, Comedy, Drama",6.3,14,8806
Great Pretender,TV-MA,23,"Animation, Action, Adventure",7.9,7,5163
The Last Summer,TV-14,109,"Comedy, Romance",5.5,10,13313
Ethos,TV-MA,50,"Drama, Thriller",8.5,7,26869
A Week Away,TV-PG,94,"Drama, Family, Musical",5.7,10,4749
The Puppet Master: Hunting the Ultimate Conman,TV-MA,127,"Documentary, Crime",7.0,7,7000
The Movies That Made Us,TV-PG,44,"Documentary, Family, History",7.6,7,6449
The Gunman,R,115,"Action, Adventure, Crime",5.8,10,41280
Badla,Not Rated,118,"Crime, Drama, Mystery",7.8,10,28099
A Whisker Away,TV-PG,104,"Animation, Adventure, Drama",6.7,12,10216
Centaurworld,TV-Y7,25,"Animation, Short, Adventure",7.6,7,2151
Little Evil,TV-MA,94,"Comedy, Fantasy, Horror",5.7,10,21604
Sightless,Unrated,89,"Drama, Thriller",5.5,10,8629
People Like Us,PG-13,114,"Comedy, Drama",7.0,10,43248
Green Eggs and Ham,TV-Y7,26,"Animation, Adventure, Comedy",8.1,7,2703
Our Great National Parks,TV-PG,50,Documentary,7.9,1,1995
Silverton Siege,TV-MA,100,"Action, Crime, Drama",6.2,10,3716
In the Shadow of Iris,TV-MA,99,"Drama, Thriller",6.1,10,4393
The Whole Truth,TV-MA,125,"Drama, Horror, Mystery",5.2,10,3507
The Open House,TV-MA,94,"Horror, Thriller",3.3,12,34572
Ultraman,TV-14,25,"Animation, Action, Adventure",6.8,7,2116
Blade of the Immortal,R,140,"Action, Drama, Fantasy",6.7,10,17864
Viceroy's House,Not Rated,106,"Biography, Drama, History",6.7,10,8032
Record of Youth,TV-14,70,"Drama, Romance",7.2,7,2506
Age of Youth,TV-14,60,"Comedy, Drama, Romance",8.3,7,2274
Yara,TV-14,96,"Crime, Drama, Thriller",6.3,10,5019
Spoiled Brats,TV-14,95,Comedy,6.0,10,6018
Stone of Destiny,PG,96,"Adventure, Comedy, Crime",6.7,10,4114
Haunted,TV-MA,24,"Horror, Reality-TV",4.6,7,3267
Death Warrant,R,89,"Action, Crime, Mystery",5.6,10,19026
Last Breath,TV-MA,90,Documentary,7.7,12,6093
Ingobernable,TV-MA,40,"Crime, Drama, Mystery",7.0,7,3155
Blasted,TV-MA,114,"Action, Comedy, Sci-Fi",4.8,10,1956
Kotaro Lives Alone,TV-14,27,"Animation, Comedy, Drama",8.4,7,2626
Power Rangers Dino Charge,TV-Y7,21,"Action, Adventure, Family",6.4,7,1398
The Upshaws,TV-14,30,"Comedy, Family",6.8,7,2767
She's Gotta Have It,TV-MA,30,Comedy,6.8,7,4751
Cheer,TV-MA,60,"Documentary, Sport",8.1,7,6381
Conversations with a Killer: The John Wayne Gacy Tapes,TV-MA,183,"Documentary, Biography, Crime",7.1,7,7512
Bling Empire,TV-MA,38,Reality-TV,5.8,7,3136
Sick Note,TV-MA,30,"Comedy, Crime",6.8,7,7690
Retribution,TV-MA,231,"Drama, Mystery, Thriller",7.0,7,8444
Tabula Rasa,TV-MA,60,"Drama, Horror, Thriller",8.0,7,10500
Power Rangers Ninja Steel,TV-Y7,21,"Action, Adventure, Drama",5.8,7,932
Is It Cake?,TV-PG,40,Reality-TV,5.7,7,2602
Backpackers,TV-MA,96,"Comedy, Romance",5.7,10,2616
The 8th Night,TV-MA,115,"Horror, Thriller",5.3,10,3471
Sonic Boom,TV-Y7,11,"Animation, Short, Action",6.8,7,6321
Carmen Sandiego,TV-Y7-FV,22,"Animation, Action, Adventure",7.9,7,5857
The Taming of the Shrewd,TV-MA,112,"Comedy, Romance",4.5,10,906
Seal Team,TV-Y7,101,"Animation, Action, Comedy",5.5,12,1430
Voice,TV-14,60,"Action, Crime, Mystery",7.6,7,2076
The Frankenstein Chronicles,TV-MA,48,"Crime, Drama, Fantasy",7.2,7,11715
Ip Man 3,PG-13,105,"Action, Biography, Drama",7.0,10,55640
Cobalt Blue,TV-MA,112,"Drama, Romance",6.5,10,1763
Blue Miracle,TV-PG,95,"Adventure, Biography, Drama",6.6,10,6955
"Crouching Tiger, Hidden Dragon: Sword of Destiny",PG-13,96,"Action, Adventure, Drama",6.1,10,19675
Bad Blood,TV-MA,47,"Crime, Drama",7.5,7,9989
Fast & Furious Spy Racers,TV-Y7-FV,23,"Animation, Action, Adventure",5.8,7,1491
Love Alarm,TV-MA,50,"Comedy, Drama, Romance",6.8,7,5749
Vanquish,R,94,"Action, Thriller",2.8,10,4418
Ghost in the Shell: Stand Alone Complex,TV-MA,24,"Animation, Action, Crime",8.5,7,19764
Sandy Wexler,TV-14,130,Comedy,5.2,10,17257
Extinct,TV-Y7,84,"Animation, Adventure, Comedy",5.4,12,2703
Looking Glass,R,103,"Mystery, Thriller",4.6,10,7037
The Coldest Game,TV-MA,102,"History, Sport, Thriller",6.2,10,10990
Memories of the Alhambra,TV-MA,60,"Drama, Romance, Sci-Fi",7.8,7,5723
6 Below: Miracle on the Mountain,PG-13,98,"Biography, Drama, Sport",5.7,10,7648
King of Stonks,TV-MA,280,"Comedy, Drama, Thriller",6.6,7,1075
Kipo and the Age of Wonderbeasts,TV-Y7,24,"Animation, Action, Adventure",8.3,7,5863
Hellsing,TV-MA,23,"Animation, Action, Fantasy",7.8,7,16481
The Breadwinner,PG-13,94,"Animation, Drama, Family",7.7,10,25472
Blood & Water,TV-MA,53,"Drama, Mystery",6.6,7,3180
Biohackers,TV-MA,44,"Drama, Sci-Fi, Thriller",6.8,7,9835
Dilwale,Not Rated,158,"Action, Comedy, Drama",5.0,10,34990
My Next Guest Needs No Introduction with David Letterman,TV-MA,60,Talk-Show,7.8,7,5702
AlRawabi School for Girls,TV-14,291,Drama,7.4,7,6061
Lovestruck in the City,TV-14,30,"Drama, Romance",7.6,7,2564
I Lost My Body,TV-MA,81,"Animation, Drama, Fantasy",7.5,10,32912
Next Door,Unrated,75,"Horror, Mystery, Thriller",6.4,12,10015
How I Became a Super Hero,TV-MA,97,"Action, Adventure, Comedy",5.8,10,5337
Conversations with a Killer: The Ted Bundy Tapes,TV-MA,236,"Documentary, Biography, Crime",7.7,7,29416
Are You the One?,TV-14,41,"Game-Show, Reality-TV, Romance",6.5,7,2576
Dive Club,TV-PG,27,"Adventure, Drama, Family",6.2,7,912
The Stand In,R,101,"Comedy, Drama",4.7,10,3532
The Ultimatum: Marry or Move On,TV-MA,60,Reality-TV,5.4,7,1889
Scissor Seven,TV-14,13,"Animation, Action, Adventure",8.4,7,2974
Seaspiracy,TV-14,89,"Documentary, Adventure",8.1,10,30963
The Circle,TV-MA,48,"Game-Show, Reality-TV",7.3,7,7026
Sunny,PG-13,124,"Comedy, Drama",7.8,10,5963
Rebecka Martinsson,Not Rated,45,"Crime, Drama, Mystery",7.1,7,2835
Halo 4: Forward Unto Dawn,Not Rated,100,"Action, Sci-Fi, Thriller",6.7,7,24917
Chewing Gum,TV-MA,23,Comedy,7.7,7,9555
The Unlikely Murderer,TV-MA,228,"Crime, Drama",7.0,7,4264
The Saint,Not Rated,91,"Action, Adventure, Crime",4.9,10,6786
Earwig and the Witch,PG,82,"Animation, Adventure, Family",4.8,10,4386
Resident Evil: Infinite Darkness,TV-MA,26,"Animation, Action, Horror",5.7,7,10700
Monster,Unrated,98,"Crime, Drama",6.5,10,5890
Last Chance U,TV-MA,55,"Documentary, Sport",8.4,7,6962
DC Super Hero Girls,TV-PG,11,"Animation, Action, Adventure",7.1,7,1338
Alex Strangelove,TV-MA,99,"Comedy, Drama, Romance",6.3,10,17989
The Other Side of the Wind,R,122,Drama,6.7,10,7370
Day of the Dead: Bloodline,R,90,"Action, Drama, Horror",3.4,10,12043
Afro Samurai,TV-MA,26,"Animation, Action, Adventure",7.6,7,16823
The Octonauts,TV-Y,11,"Animation, Adventure, Comedy",7.6,7,1121
Trollhunters: Rise of the Titans,TV-Y7,104,"Animation, Action, Adventure",6.6,14,4970
Masaba Masaba,TV-MA,50,"Comedy, Drama",6.7,7,2138
Equinox,TV-MA,43,"Drama, Fantasy, Mystery",6.1,7,7027
Radium Girls,Not Rated,102,"Drama, History",6.2,12,1907
The Quake,PG-13,106,"Action, Drama, Thriller",6.2,10,12293
Rurouni Kenshin: Final Chapter Part I - The Final,TV-MA,138,"Action, Drama",7.2,10,8828
Cracow Monsters,TV-MA,60,"Adventure, Drama, Fantasy",5.5,7,1807
The Lovebirds,R,86,"Action, Comedy, Crime",6.1,10,26168
First They Killed My Father,TV-MA,136,"Biography, Drama, History",7.1,10,18547
Puella Magi Madoka Magica,TV-14,24,"Animation, Drama, Fantasy",8.2,7,9674
"Berlin, I Love You",R,120,"Drama, Romance",4.6,34,3433
Zeitgeist,Not Rated,118,"Documentary, History",8.1,10,49587
Otherhood,R,100,Comedy,6.1,10,11393
Mystery Science Theater 3000,TV-14,90,"Comedy, Drama, Horror",8.1,7,3721
Million Dollar Arm,PG,124,"Biography, Drama, Sport",7.0,10,46153
The Naked Director,TV-MA,48,"Biography, Drama",7.7,7,6226
Someone Has to Die,TV-MA,149,"Crime, Drama, Thriller",6.3,7,4938
13th,TV-MA,100,"Documentary, Crime, History",8.2,10,35589
Sniper: Ghost Shooter,R,99,"Action, Drama, Thriller",5.4,10,4147
The Mercy,Not Rated,112,"Adventure, Biography, Drama",6.0,10,8688
6 Years,Not Rated,79,"Drama, Romance",5.5,10,12684
Wolfblood,TV-PG,30,"Family, Fantasy",7.4,7,3639
Rurôni Kenshin: Sai shûshô - The Beginning,TV-MA,137,"Action, Adventure, Drama",7.4,10,8546
The Last Czars,TV-MA,45,"Documentary, Drama, History",7.3,7,8408
